,desc,mana,name,price,rarity,type,url
10,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.) Other creatures you control have intimidate. Whenever Vela the Night-Clad or another creature you control leaves the battlefield each opponent loses 1 life.,4UB,Vela the Night-Clad,$0.10/$0.13,M,Legendary Creature - Human Wizard,./Paginas/PaginasHeuristica/www.capefeargames.com167.html
11," Trample, haste When Clackbridge Troll enters the battlefield, target opponent creates three 0/1 white Goat creature tokens. At the beginning of combat on your turn, any opponent may sacrifice a creature. If a player does, tap Clackbridge Troll, you gain 3 life, and you draw a card. ","['3', 'B', 'B']",           Clackbridge Troll              ,$0.42,Rare,Creature—Troll,./Paginas/PaginasHeuristica/scryfall.com281.html
12,"
--This card has no flavor text --",[], Underground Sea (Not Tournament Legal) ,$749.99,Rare,Land - Island Swamp,./Paginas/PaginasHeuristica/abugames.com852.html
13,"Haste (This creature can attack and Tap as soon as it comes under your control.)
Haste (This creature can attack and Tap as soon as it comes under your control.)",2 r,Arc Runner,$0.15,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com329.html
14,Creatures you control get +1/+1. Whenever you tap a land for mana add one mana to your mana pool of any type that land produced.,3GW,Mirari's Wake,$8.00/$10.00,R,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com188.html
15," When Glass Casket enters the battlefield, exile target creature an opponent controls with converted mana cost 3 or less until Glass Casket leaves the battlefield.   Fate will decide whether it’s a bed or a tomb. ","['1', 'W']",           Glass Casket              ,$0.13,Uncommon,Artifact,./Paginas/PaginasHeuristica/scryfall.com794.html
16,Sliver creatures you control have flying.,U,Galerider Sliver - Foil,,R,Creature - Sliver,./Paginas/PaginasHeuristica/www.capefeargames.com472.html
17,"Flying
Flying",3,Aethersphere Harvester (Aether Revolt Prerelease),$2.99,Promo,Artifact - Vehicle,./Paginas/PaginasHeuristica/www.starcitygames.com796.html
18,"Enchant artifact you controlAt the beginning of your upkeep, create a token that's a copy of enchanted artifact. Then if you control eight or more artifacts with the same name as one another, you win the game.",2BlueBlue,Mechanized Production,$0.03,,Enchantment - Aura,./Paginas/PaginasHeuristica/www.mtgotraders.com896.html
19," Destroy target nonblack creature. Madness {B} (If you discard this card, you may play it for its madness cost instead of putting it into your graveyard.)", ,Dark Withering - Time Spiral Magic the Gathering Single,$0.30, Common, Instant,./Paginas/PaginasHeuristica/www.wizardscupboard.com857.html
20,"Counts as both mountains and plains and is affected by spells that affect either. Tap to add either  or  to your mana pool.
--This card has no flavor text --",[], Plateau ,$459.99,Rare,Land - Mountain Plains,./Paginas/PaginasHeuristica/abugames.com917.html
21," {W}{W}, {T}: Destroy target red permanent.", ,Southern Paladin - Weatherlight Magic the Gathering Single,$0.35, Rare, Creature - Knight,./Paginas/PaginasHeuristica/www.wizardscupboard.com504.html
22,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Whenever Tomebound Lich enters the battlefield or deals combat damage to a player, draw a card, then discard a card.",1ub,Core Set 2020 Foil: Tomebound Lich,$1.49,U,Creature - Zombie Wizard,./Paginas/PaginasHeuristica/www.cardkingdom.com364.html
23,"Target creature gets +3/+3 until end of turn.
--This card has no flavor text --",['g'], Giant Growth ,$2.39,Common,Instant,./Paginas/PaginasHeuristica/abugames.com444.html
24,"Menace (This creature can't be blocked except by two or more creatures.)When Relentless Dead dies, you may pay Black. If you do, return it to its owner's hand.When Relentless Dead dies, you may pay Variable Colorless. If you do, return another target Zombie creature card with converted mana cost X from your graveyard to the battlefield.",BlackBlack,Relentless Dead,$0.95,,Creature - Zombie,./Paginas/PaginasHeuristica/www.mtgotraders.com195.html
25,Counter target spell.,UU,Counterspell,$1.85,C,Instant,./Paginas/PaginasHeuristica/www.capefeargames.com921.html
26," Flying As long as you control four or more artifacts, Shimmer Dragon has hexproof. Tap two untapped artifacts you control: Draw a card.   The indigo dragon gladly traded a bit of its hoard for everlasting moonlight. ","['4', 'U', 'U']",           Shimmer Dragon              ,$4.48,Rare,Creature—Dragon,./Paginas/PaginasHeuristica/scryfall.com517.html
27,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)",3 r,Bladetusk Boar,$0.25,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com145.html
28,"Equipped creature gets +2/+2 and has trample. (If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)
Equipped creature gets +2/+2 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",3,Brawler's Plate,$0.25,Uncommon,Artifact - Equipment,./Paginas/PaginasHeuristica/www.starcitygames.com515.html
29,"[0]: Create two 2/2 black and green Wolf creature toekns with ""When this creature dies put a loyalty counter on each Garruk you control.""[-3]: Destroy target creature. Draw a card.[-6]: You get an emblem with ""Creatures you control get +3/+3 and have trample.""",4BG,"Garruk, Cursed Huntsman",$8.95,M,Legendary Planeswalker - Garruk,./Paginas/PaginasHeuristica/www.capefeargames.com4.html
30,Destroy target artifact or enchantment.,1w,Core Set 2020 Foil: Disenchant,$0.25,C,Instant,./Paginas/PaginasHeuristica/www.cardkingdom.com90.html
31,"Exile all attacking creatures target player controls. That player may search his or her library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle his or her library.",2WhiteWhite,Settle the Wreckage,$0.03,,Instant,./Paginas/PaginasHeuristica/www.mtgotraders.com746.html
32,"Each player sacrifices two creatures.
Each player sacrifices two creatures.",2 b b,Barter in Blood,$0.25,Uncommon,Sorcery,./Paginas/PaginasHeuristica/www.starcitygames.com846.html
33,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and Tap this turn.)
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and Tap this turn.)",2 r,Act of Treason,$0.25,Common,Sorcery,./Paginas/PaginasHeuristica/www.starcitygames.com90.html
34,"Target creature gains protection from green.
--This card has no flavor text --",['w'], Green Ward ,$62.49,Uncommon,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com297.html
35,"Flying, hasteAkoum Firebird attacks each turn if able.Landfall- Whenever a land enters the battlefield under your control, you may pay 4RedRed. If you do, return Akoum Firebird from your graveyard to the battlefield.",2RedRed,Akoum Firebird,$0.02,,Creature - Phoenix,./Paginas/PaginasHeuristica/www.mtgotraders.com316.html
36,Target player loses 1 life for each tapped artifact he or she controls.,3 ManaBlack Mana,Burden of Greed,$0.01,,Instant,./Paginas/PaginasHeuristica/www.mtgotraders.com603.html
37,"During your upkeep, you must choose one of opponent's non-wall creatures in play. Until your next upkeep, that creature gains the forestwalk ability. If opponent has no creatures, ignore this effect.
--This card has no flavor text --","['3', 'g']", Erhnam Djinn ,$659.99,Rare,Creature - Djinn,./Paginas/PaginasHeuristica/abugames.com278.html
38,"When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)
When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",1 w,Cavalry Drillmaster,$0.15,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com903.html
39, +1: Draw a card. Target player puts the top card of his or her library into his or her graveyard. 0: Target player puts the top ten cards of his or her library into his or her graveyard. -7: Any number of target players each draw twenty cards., ,"Jace, Memory Adept - Magic 2014 Magic the Gathering Foil Single",$12.95, Mythic Rare, Planeswalker,./Paginas/PaginasHeuristica/www.wizardscupboard.com338.html
40,": Add either  or  to your mana pool.
Counts as both forest and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Taiga (WB) ,$214.95,Rare,Land - Mountain Forest,./Paginas/PaginasHeuristica/abugames.com782.html
41,"Vigilance (Attacking doesn't cause this creature to taps.)
As Diamond Knight enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, put a +1/+1 counter on Diamond Knight.",3,Core Set 2020 Foil: Diamond Knight,$0.49,U,Artifact Creature - Knight,./Paginas/PaginasHeuristica/www.cardkingdom.com108.html
42,"FlashWhen Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)",1Blue,Snapcaster Mage,$8.53,,Creature - Human Wizard,./Paginas/PaginasHeuristica/www.mtgotraders.com253.html
43,"Counter target spell.
--This card has no flavor text --","['1', 'u', 'u']", Cancel ,$2.15,Common,Instant,./Paginas/PaginasHeuristica/abugames.com628.html
44, ({T}: Add {W}.) ,,           Plains ,$0.10,Common,BasicLand—Plains,./Paginas/PaginasHeuristica/scryfall.com452.html
45,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.
At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",2 g,Advocate of the Beast,$0.15,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com450.html
46,"Tap, Pay 2 life, Discard a card, Sacrifice a creature: Create a 5/5 black Demon creature token with flying. Activate this ability only any time you could cast a sorcery.
Tap, Pay 2 life, Discard a card, Sacrifice a creature: Create a 5/5 black Demon creature token with flying. Activate this ability only any time you could cast a sorcery.",4 b b,Bloodsoaked Altar,$0.49,Uncommon,Artifact,./Paginas/PaginasHeuristica/www.starcitygames.com684.html
47,,5BlueBlackRed,"Nicol Bolas, the Deceiver",$0.20,,Planeswalker - Bolas,./Paginas/PaginasHeuristica/www.mtgotraders.com984.html
48," As an additional cost to cast Skaab Ruinator, exile 3 creature cards from your graveyard. Flying You may cast Skaab Ruinator from your graveyard.", ,Skaab Ruinator - Innistrad Magic the Gathering Single,$0.35, Mythic Rare, Creature,./Paginas/PaginasHeuristica/www.wizardscupboard.com945.html
49,T: Add to your mana pool one mana of any color in your commander's color identity,,Command Tower,$0.50/$0.63,C,Land,./Paginas/PaginasHeuristica/www.capefeargames.com130.html
50,": Add either  or  to your mana pool.
Counts as both forest and islands and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Tropical Island ,$457.59,Rare,Land - Forest Island,./Paginas/PaginasHeuristica/abugames.com805.html
51,T: Add 1 to your mana pool.,,Buried Ruin,$1.85,U,Land,./Paginas/PaginasHeuristica/www.capefeargames.com560.html
52,If you control a creature damage that would reduce your life total to less than 1 reduces it to 1 instead.,3W,Worship,$1.25,R,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com833.html
53,"Any creature in either player's graveyard comes into play on your side with -1 to its original power. If this enchantment is removed, or at end of game, target creature is returned to its owner's graveyard. Target creature may be killed as normal.
--This card has no flavor text --","['1', 'b']", Animate Dead ,$747.49,Uncommon,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com106.html
54,When Animate Dead comes into play if it's in play it becomes an Aura with enchant creature. Put target creature card from a graveyard into play under your control and attach Animate Dead to it. Enchanted creature gets -1/-0. When Animate Dead leaves pla,1B,Animate Dead,$2.96,U,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com999.html
55, {T}: Add 2 colorless mana to your mana pool. This ability is played as an interrupt., ,Sol Ring - Revised Magic the Gathering Single,$9.95, Uncommon, Artifact,./Paginas/PaginasHeuristica/www.wizardscupboard.com416.html
56,"Haste
Whenever you discard a card, Glint-Horn Buccaneer deals 1 damage to each opponent.
, Discard a card: Draw a card. Activate this ability only if Glint-Horn Buccaneer is attacking.",1rr,Core Set 2020: Glint-Horn Buccaneer,$0.25,R,Creature - Minotaur Pirate,./Paginas/PaginasHeuristica/www.cardkingdom.com276.html
57,"Cannot be assigned to block any creature of power greater than 1.
""Brassclaws were typical Orcs—quick to laud their own prowess in battle, quick to jeer at their opponents, and quicker still to run away when things started to look slightly dangerous.""
—Sarpadian Empires, vol. IV","['2', 'r']", Brassclaw Orcs (B) ,$2.25,Common,Creature - Orc,./Paginas/PaginasHeuristica/abugames.com556.html
58,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)Flying3Red: Skarrgan Hellkite deals 2 damage divided as you choose among one or two targets. Activate this ability only if Skarrgan Hellkite has a +1/+1 counter on it.,3RedRed,Skarrgan Hellkite,$0.67,,Creature - Dragon,./Paginas/PaginasHeuristica/www.mtgotraders.com438.html
59,"Vigilance (Attacking doesn't cause this creature to tap.)
Squad Captain enters the battlefield with a +1/+1 counter on it for each other creature you control.",4w,Core Set 2020 Foil: Squad Captain,$0.25,C,Creature - Human Soldier,./Paginas/PaginasHeuristica/www.cardkingdom.com299.html
60," {1}: Prevents all damage against you from one blue source. If a source does damage to you more than once in a turn, you must pay 1 mana each time you want to prevent the damage.", ,Circle of Protection: Blue - Revised Magic the Gathering Single,$0.15, Common, Enchantment,./Paginas/PaginasHeuristica/www.wizardscupboard.com553.html
61,Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. (You and they can't be the targets of blue or black spells or abilities your opponents control.),g,Core Set 2020: Veil of Summer,$6.99,U,Instant,./Paginas/PaginasHeuristica/www.cardkingdom.com333.html
62,"Choose a color. As long as opponent has cards of this color in play, all white creatures gain +2/+1. Jihad must be discarded immediately if at any time opponent has no cards of this color in play.
--This card has no flavor text --","['w', 'w', 'w']", Jihad ,$224.99,Rare,Enchantment,./Paginas/PaginasHeuristica/abugames.com413.html
63,"FearAt the beginning of your upkeep, you may move a +1/+1 counter from target creature onto Arcbound Fiend.Modular 3 (This comes into play with three +1/+1 counters on it. When it's put into a graveyard, you may put its +1/+1 counters on target artifact creature.)",6 Mana,Arcbound Fiend,$0.01,,Artifact Creature,./Paginas/PaginasHeuristica/www.mtgotraders.com592.html
64," Other Knights you control get  1/ 1.   “I fight for my daughter, who may not set foot on a battlefield for many years. Remember who you fight for.” ","['R', 'W']",           Inspiring Veteran              ,$0.15,Uncommon,Creature—HumanKnight,./Paginas/PaginasHeuristica/scryfall.com393.html
65,"Trample
During your upkeep, pay  or Force of Nature deals 8 damage to you.
--This card has no flavor text --","['2', 'g', 'g', 'g', 'g']", Force of Nature ,$1.39,Rare,Creature - Elemental,./Paginas/PaginasHeuristica/abugames.com940.html
66,"When Nissa Vastwood Seer enters the battlefield you may search your library for a basic Forest card reveal it put it into your hand then shuffle your library.

Whenever a land enters the battlefield under your control if you control seven or more lands exile Nissa then return her to the battlefield transformed under her owner’s control. // +1: Reveal the top card of your library. If it’s a land card put it onto the battlefield. Otherwise put it into your hand.

-2: Put a legendary 4/4 green Elemental creature token named Ashaya the Awoken World onto the battlefield.

-7: Untap up to six target lands. They become 6/6 Elemental creatures. They’re still lands.",2G,"Nissa, Vastwood Seer // Nissa, Sage Animist",$11.35,M,Legendary Creature - Elf Scout // Planeswalker - Nissa,./Paginas/PaginasHeuristica/www.capefeargames.com425.html
67,"Sacrifice Brindle Boar: You gain 4 life.
Sacrifice Brindle Boar: You gain 4 life.",2 g,Brindle Boar,$0.25,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com391.html
68," When Corridor Monitor enters the battlefield, untap target artifact or creature you control.   Castle Vantress has no locks on its doors, but interlopers rarely make it past the foyer. ","['1', 'U']",           Corridor Monitor              ,$0.05,Common,ArtifactCreature—Construct,./Paginas/PaginasHeuristica/scryfall.com239.html
69,"Legendary spells you cast cost 1 less to cast.Exile two legendary cards from your graveyard: Until end of turn, each legendary card in your graveyard gains ""You may play this card from your graveyard.""",WhiteBlackGreen,"Kethis, the Hidden Hand *Foil*",$15.52,,Legendary Creature - Elf Advisor,./Paginas/PaginasHeuristica/www.mtgotraders.com341.html
70,"Loxodon Smiter can't be countered.If a spell or ability an opponent controls causes you to discard Loxodon Smiter, put it onto the battlefield instead of putting it into your graveyard.",1GreenWhite,Loxodon Smiter,$0.01,,Creature - Elephant Soldier,./Paginas/PaginasHeuristica/www.mtgotraders.com711.html
71,"Flying
Flying",4 r r,Akoum Hellkite (Battle for Zendikar Prerelease),$0.99,Promo,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com811.html
72,": Add either  or  to your mana pool.
Counts as both swamp and forest and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Bayou (WB) ,$432.79,Rare,Land - Swamp Forest,./Paginas/PaginasHeuristica/abugames.com690.html
73,"Flying
Flying",g,Birds of Paradise,$17.99,Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com112.html
74," Vigilance Whenever a white creature you control attacks, you gain 1 life. ","['W', 'W', 'W']","           Linden, the Steadfast Queen              ",$0.19,Rare,LegendaryCreature—HumanNoble,./Paginas/PaginasHeuristica/scryfall.com540.html
75,"You gain 7 life.
You gain 7 life.",2 w w,Angel's Mercy,$0.15,Common,Instant,./Paginas/PaginasHeuristica/www.starcitygames.com407.html
76,"Flying
You can't lose the game and your opponents can't win the game.",7,Platinum Angel - Foil,$11.95,M,Artifact Creature ? Angel,./Paginas/PaginasHeuristica/www.capefeargames.com649.html
77," Flying When Arcanist’s Owl enters the battlefield, look at the top four cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. ","['W/U', 'W/U', 'W/U', 'W/U']",           Arcanist's Owl              ,$0.09,Uncommon,ArtifactCreature—Bird,./Paginas/PaginasHeuristica/scryfall.com405.html
78,"Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)
: Exile target card from a graveyard.",1w,Core Set 2020 Foil: Apostle of Purifying Light,$0.35,U,Creature - Human Cleric,./Paginas/PaginasHeuristica/www.cardkingdom.com28.html
79,HexproofLotus Field enters the battlefield tapped.When Lotus Field enters the battlefield sacrifice two lands.T: Add three mana of any one color.,,Lotus Field - Foil,$15.15,R,Land,./Paginas/PaginasHeuristica/www.capefeargames.com219.html
80,": Instead of drawing a card from the top of your library, draw X cards but choose only one to put in your hand. You must shuffle the leftover cards and put them at the bottom of your library.
--This card has no flavor text --",['10'], Aladdin's Lamp ,$19.99,Rare,Artifact,./Paginas/PaginasHeuristica/abugames.com385.html
81,"Counter target activated ability, triggered ability, or legendary spell.",1Blue,Tale's End,$0.03,,Instant,./Paginas/PaginasHeuristica/www.mtgotraders.com204.html
82," Whenever Noxious Ghoul or another Zombie comes into play, all non-Zombie creatures get -1/-1 until end of turn.", ,Noxious Ghoul - Legions,$1.75, Uncommon, Creature - Zombie,./Paginas/PaginasHeuristica/www.wizardscupboard.com695.html
83,"As Caged Sun enters the battlefield, choose a color.Creatures you control of the chosen color get +1/+1.Whenever a land's ability adds one or more mana of the chosen color to your mana pool, add one additional mana of that color to your mana pool.",6,Caged Sun,$0.36,,Artifact,./Paginas/PaginasHeuristica/www.mtgotraders.com654.html
84,"Return up to three target creatures to their owners' hands.
Return up to three target creatures to their owners' hands.",4 u u,Captivating Gyre,$0.25,Uncommon,Sorcery,./Paginas/PaginasHeuristica/www.starcitygames.com954.html
85,"When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.
When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.",2 g,Borderland Ranger,$0.75,Common,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com28.html
86,": +1/+0
""And topples round the dreary west
A looming bastion fringed with fire.""
—Alfred, Lord Tennyson, ""In Memoriam""",['r'], Firebreathing ,$36.49,Common,Enchantment - Aura,./Paginas/PaginasHeuristica/abugames.com540.html
87,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay . If you do, draw a card.",2w,Core Set 2019 Foil: Mentor of the Meek,$1.49,R,Creature - Human Soldier,./Paginas/PaginasHeuristica/www.cardkingdom.com260.html
88, Add 1 white mana to your mana pool. Tapping this artifact can be played as an interrupt., ,Mox Pearl - Unlimited Magic the Gathering Single,"$3,250.00", Rare, Mono Artifact,./Paginas/PaginasHeuristica/www.wizardscupboard.com400.html
89,+2: You gain 2 life. Put two +1/+1 counters on up to one target creature.-3: Exile target creature. Its controller gains 2 life.-10: Creatures you control gain flying and double strike until end of turn.,4WhiteWhite,"Ajani, Inspiring Leader",$2.00,,Legendary Planeswalker - Ajani,./Paginas/PaginasHeuristica/www.mtgotraders.com17.html
90,"If opponent has more than four cards in hand during upkeep, black vise does 1 damage to opponent for each card in excess of four.
--This card has no flavor text --",['1'], Black Vise ,$999.99,Uncommon,Artifact,./Paginas/PaginasHeuristica/abugames.com110.html
91,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample.
""Approach from behind. That way, if it does charge, at least you aren't in front of it.""
—Vivien Reid","['3', 'g', 'g', 'g']", Aggressive Mammoth ,$1.05,Rare,Creature - Elephant,./Paginas/PaginasHeuristica/abugames.com14.html
92,Nonbasic lands are Mountains.,2R,Blood Moon,$19.95,R,Enchantment,./Paginas/PaginasHeuristica/www.capefeargames.com825.html
93,"At end of combat, if Kytheon, Hero of Akros and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.2White: Kytheon gains indestructible until end of turn.--+2: Up to one target creature an opponent controls attacks Gideon, Battle-Forged during its controller's next turn if able.+1: Until your next turn, target creature gains indestructible. Untap that creature.0: Until end of turn, Gideon, Battle-Forged becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",White,"Kytheon, Hero of Akros",$0.48,,Legendary Creature - Human Soldier,./Paginas/PaginasHeuristica/www.mtgotraders.com838.html
94,R T Remove two cards in your graveyard from the game Grim Lavamancer deals 2 damage to target creature or player.,R,Grim Lavamancer,$11.35,R,Creature - Wizard,./Paginas/PaginasHeuristica/www.capefeargames.com576.html
95,": Add either  or  to your mana pool.
Counts as both forest and islands and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",[], Tropical Island (WB) ,$452.59,Rare,Land - Forest Island,./Paginas/PaginasHeuristica/abugames.com813.html
96,T: Add to your mana pool one mana of any color in your commander's color identity.,,Command Tower,$0.50/$0.63,C,Land,./Paginas/PaginasHeuristica/www.capefeargames.com126.html
97,"Flash (You may cast this spell any time you could cast an instant.)
Flash (You may cast this spell any time you could cast an instant.)",1 u,Brineborn Cutthroat,$2.99,Uncommon,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com692.html
98,"If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.",3WhiteWhite,Divine Visitation,$0.44,,Enchantment,./Paginas/PaginasHeuristica/www.mtgotraders.com992.html
99,"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)
Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)",3 b b,Bloodlord of Vaasgoth,$1.49,Mythic Rare,Creature,./Paginas/PaginasHeuristica/www.starcitygames.com387.html
100,"+1: Destroy another target planeswalker.+1: Put a 3/3 black Beast creature token with deathtouch onto the battlefield.-3: Destroy target creature. You gain life equal to its toughness.-8: Target opponenet gets an emblem with ""Whenever a creature attacks you it gets +5/+5 and gains trample until end of turn.""",5BG,"Garruk, Apex Predator - Foil",,M,Planeswalker - Garruk,./Paginas/PaginasHeuristica/www.capefeargames.com433.html
101,+1 Untap two target lands.-1 Put a 3/3 green Beast creature token onto the battlefield.-4 Creatures you control get +3/+3 and gain trample until end of turn.,2GG,Garruk Wildspeaker - Foil,$15.15,M,Planeswalker  Garruk,./Paginas/PaginasHeuristica/www.capefeargames.com599.html
102,"Flying
Attacking does not cause Serra Angel to tap.
Born with wings of light and a sword of faith, this heavenly incarnation embodies both fury and purity.","['3', 'w', 'w']", Serra Angel ,$5.55,Uncommon,Creature - Angel,./Paginas/PaginasHeuristica/abugames.com956.html
103, Liliana's Elite gets +1/+1 for each creature card in your graveyard., ,Liliana's Elite (Foil) - Eldritch Moon,$0.75, Uncommon, Creature,./Paginas/PaginasHeuristica/www.wizardscupboard.com816.html
104," Return up to X target artifact and/or non-Aura enchantment cards each with converted mana cost X or less from your graveyard to the battlefield. If X is 6 or more, those permanents are 4/4 creatures in addition to their other types. ","['X', 'W', 'U']",           Dance of the Manse              ,$0.87,Rare,Sorcery,./Paginas/PaginasHeuristica/scryfall.com385.html
105,Lava Spike deals 3 damage to target player.,Red Mana,Lava Spike,$1.39,,Sorcery - Arcane,./Paginas/PaginasHeuristica/www.mtgotraders.com584.html
106,"During your upkeep, you must choose one of opponent's non-wall creatures in play. Until your next upkeep, that creature gains the forestwalk ability. If opponent has no creatures, ignore this effect.
--This card has no flavor text --","['3', 'g']", Erhnam Djinn ,$459.99,Rare,Creature - Djinn,./Paginas/PaginasHeuristica/abugames.com405.html
107,Destroy all lands.,3W,Armageddon,$4.95,R,Sorcery,./Paginas/PaginasHeuristica/www.capefeargames.com960.html
