,Unnamed: 0,desc,mana,name,price,rarity,type,url
20,20,"Counts as both mountains and plains and is affected by spells that affect either. Tap to add either  or  to your mana pool.
--This card has no flavor text --",,Plateau,$459.99,Rare,Land - Mountain Plains,https://abugames.com/magic-the-gathering/singles/product-detail/Plateau/Unlimited/English/ID%23-86896
21,21,"{W}{W}, {T}: Destroy target red permanent.",,Southern Paladin - Weatherlight Magic the Gathering Single,$0.35, Rare,Creature - Knight,https://www.wizardscupboard.com/southern-paladin-p-11145.html
22,22,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Whenever Tomebound Lich enters the battlefield or deals combat damage to a player, draw a card, then discard a card.",1ub,Core Set 2020 Foil: Tomebound Lich,$1.49,Uncommon,Creature - Zombie Wizard,https://www.cardkingdom.com/mtg/core-set-2020/tomebound-lich-foil
23,23,"Target creature gets +3/+3 until end of turn.
--This card has no flavor text --",g,Giant Growth,$2.39,Common,Instant,https://abugames.com/magic-the-gathering/singles/product-detail/Giant-Growth/10th-Edition/English/ID%23-m16329
24,24,"Menace (This creature can't be blocked except by two or more creatures.)When Relentless Dead dies, you may pay Black. If you do, return it to its owner's hand.When Relentless Dead dies, you may pay Variable Colorless. If you do, return another target Zombie creature card with converted mana cost X from your graveyard to the battlefield.",bb,Relentless Dead,$0.95,,Creature - Zombie,https://www.mtgotraders.com/store/SOI_Relentless_Dead.html
25,25,Counter target spell.,uu,Counterspell,$1.85,Common,Instant,https://www.capefeargames.com/catalog/magic_singles-masques_block-mercadian_masques/counterspell/16132
26,26,"Flying As long as you control four or more artifacts, Shimmer Dragon has hexproof. Tap two untapped artifacts you control: Draw a card.   The indigo dragon gladly traded a bit of its hoard for everlasting moonlight.",4uu,Shimmer Dragon,$4.48,Rare,Creature—Dragon,https://scryfall.com/card/eld/317/shimmer-dragon
27,27,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)",3r,Bladetusk Boar,$0.25,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/404651
28,28,"Equipped creature gets +2/+2 and has trample. (If it would assign enough damage to its blockers to destroy them, you may have it assign the rest of its damage to defending player or planeswalker.)
Equipped creature gets +2/+2 and has trample. (It can deal excess combat damage to the player or planeswalker it's attacking.)",3,Brawler's Plate,$0.25,Uncommon,Artifact - Equipment,http://www.starcitygames.com/catalog/magic_the_gathering/product/698638
29,29,"[0]: Create two 2/2 black and green Wolf creature toekns with ""When this creature dies put a loyalty counter on each Garruk you control.""[-3]: Destroy target creature. Draw a card.[-6]: You get an emblem with ""Creatures you control get +3/+3 and have trample.""",4bg,"Garruk, Cursed Huntsman",$8.95,Mythic,Legendary Planeswalker - Garruk,https://www.capefeargames.com/catalog/magic_singles-throne_of_eldraine_products-throne_of_eldraine/garruk_cursed_huntsman/606153
30,30,Destroy target artifact or enchantment.,1w,Core Set 2020 Foil: Disenchant,$0.25,Common,Instant,https://www.cardkingdom.com/mtg/core-set-2020/disenchant-foil
31,31,"Exile all attacking creatures target player controls. That player may search his or her library for that many basic land cards, put those cards onto the battlefield tapped, then shuffle his or her library.",2ww,Settle the Wreckage,$0.03,,Instant,https://www.mtgotraders.com/store/XLN_Settle_the_Wreckage.html
32,32,"Each player sacrifices two creatures.
Each player sacrifices two creatures.",2bb,Barter in Blood,$0.25,Uncommon,Sorcery,http://www.starcitygames.com/catalog/magic_the_gathering/product/392614
33,33,"Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and Tap this turn.)
Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. (It can attack and Tap this turn.)",2r,Act of Treason,$0.25,Common,Sorcery,http://www.starcitygames.com/catalog/magic_the_gathering/product/279562
34,34,"Target creature gains protection from green.
--This card has no flavor text --",w,Green Ward,$62.49,Uncommon,Enchantment - Aura,https://abugames.com/magic-the-gathering/singles/product-detail/Green-Ward/Alpha/English/ID%23-sa4813
35,35,"Flying, hasteAkoum Firebird attacks each turn if able.Landfall- Whenever a land enters the battlefield under your control, you may pay 4RedRed. If you do, return Akoum Firebird from your graveyard to the battlefield.",2rr,Akoum Firebird,$0.02,,Creature - Phoenix,https://www.mtgotraders.com/store/BFZ_Akoum_Firebird.html
36,36,Target player loses 1 life for each tapped artifact he or she controls.,3b,Burden of Greed,$0.01,,Instant,https://www.mtgotraders.com/store/DST_Burden_of_Greed.html
37,37,"During your upkeep, you must choose one of opponent's non-wall creatures in play. Until your next upkeep, that creature gains the forestwalk ability. If opponent has no creatures, ignore this effect.
--This card has no flavor text --",3g,Erhnam Djinn,$659.99,Rare,Creature - Djinn,https://abugames.com/magic-the-gathering/singles/product-detail/Erhnam-Djinn/Arabian-Nights/English/ID%23-gp41704676
38,38,"When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)
When Cavalry Drillmaster enters the battlefield, target creature gets +2/+0 and gains first strike until end of turn. (It deals combat damage before creatures without first strike.)",1w,Cavalry Drillmaster,$0.15,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1430733
39,39,+1: Draw a card. Target player puts the top card of his or her library into his or her graveyard. 0: Target player puts the top ten cards of his or her library into his or her graveyard. -7: Any number of target players each draw twenty cards.,,"Jace, Memory Adept - Magic 2014 Magic the Gathering Foil Single",$12.95, Mythic Rare,Planeswalker,https://www.wizardscupboard.com/jace-memory-adept-p-33842.html
40,40,": Add either  or  to your mana pool.
Counts as both forest and mountains and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Taiga (WB),$214.95,Rare,Land - Mountain Forest,https://abugames.com/magic-the-gathering/singles/product-detail/Taiga-%2528WB%2529/Revised/Italian/ID%23-64083
41,41,"Vigilance (Attacking doesn't cause this creature to taps.)
As Diamond Knight enters the battlefield, choose a color.
Whenever you cast a spell of the chosen color, put a +1/+1 counter on Diamond Knight.",3,Core Set 2020 Foil: Diamond Knight,$0.49,Uncommon,Artifact Creature - Knight,https://www.cardkingdom.com/mtg/core-set-2020/diamond-knight-foil
42,42,"FlashWhen Snapcaster Mage enters the battlefield, target instant or sorcery card in your graveyard gains flashback until end of turn. The flashback cost is equal to its mana cost. (You may cast that card from your graveyard for its flashback cost. Then exile it.)",1u,Snapcaster Mage,$8.53,,Creature - Human Wizard,https://www.mtgotraders.com/store/ISD_Snapcaster_Mage.html
43,43,"Counter target spell.
--This card has no flavor text --",1uu,Cancel,$2.15,Common,Instant,https://abugames.com/magic-the-gathering/singles/product-detail/Cancel/10th-Edition/English/ID%23-s3835
44,44,({T}: Add {W}.),,Plains,$0.10,Common,BasicLand—Plains,https://scryfall.com/card/eld/251/plains
45,45,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.
At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",2g,Advocate of the Beast,$0.15,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/458721
46,46,"Tap, Pay 2 life, Discard a card, Sacrifice a creature: Create a 5/5 black Demon creature token with flying. Activate this ability only any time you could cast a sorcery.
Tap, Pay 2 life, Discard a card, Sacrifice a creature: Create a 5/5 black Demon creature token with flying. Activate this ability only any time you could cast a sorcery.",4bb,Bloodsoaked Altar,$0.49,Uncommon,Artifact,http://www.starcitygames.com/catalog/magic_the_gathering/product/1555514
47,47,,5ubr,"Nicol Bolas, the Deceiver",$0.20,,Planeswalker - Bolas,https://www.mtgotraders.com/store/HOU_Nicol_Bolas_the_Deceiver.html
48,48,"As an additional cost to cast Skaab Ruinator, exile 3 creature cards from your graveyard. Flying You may cast Skaab Ruinator from your graveyard.",,Skaab Ruinator - Innistrad Magic the Gathering Single,$0.35, Mythic Rare,Creature,https://www.wizardscupboard.com/skaab-ruinator-p-29700.html
49,49,T: Add to your mana pool one mana of any color in your commander's color identity,,Command Tower,$0.50/$0.63,Common,Land,https://www.capefeargames.com/buylist/magic_singles-commander_sets-commander_2016/command_tower/423763
50,50,": Add either  or  to your mana pool.
Counts as both forest and islands and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Tropical Island,$457.59,Rare,Land - Forest Island,https://abugames.com/magic-the-gathering/singles/product-detail/Tropical-Island/Revised/English/ID%23-s37093
51,51,T: Add 1 to your mana pool.,,Buried Ruin,$1.85,Uncommon,Land,https://www.capefeargames.com/catalog/magic_singles-commander_sets-commander_2014/buried_ruin/183073
52,52,If you control a creature damage that would reduce your life total to less than 1 reduces it to 1 instead.,3w,Worship,$1.25,Rare,Enchantment,https://www.capefeargames.com/catalog/magic_singles-signature_spellbook_series-signature_spellbook_gideon/worship/595813
53,53,"Any creature in either player's graveyard comes into play on your side with -1 to its original power. If this enchantment is removed, or at end of game, target creature is returned to its owner's graveyard. Target creature may be killed as normal.
--This card has no flavor text --",1b,Animate Dead,$747.49,Uncommon,Enchantment - Aura,https://abugames.com/magic-the-gathering/singles/product-detail/Animate-Dead/Alpha/English/ID%23-gb0010654635
54,54,When Animate Dead comes into play if it's in play it becomes an Aura with enchant creature. Put target creature card from a graveyard into play under your control and attach Animate Dead to it. Enchanted creature gets -1/-0. When Animate Dead leaves pla,1b,Animate Dead,$2.96,Uncommon,Enchantment,https://www.capefeargames.com/catalog/magic_singles-core_sets-3rd_edition/animate_dead/11592
55,55,{T}: Add 2 colorless mana to your mana pool. This ability is played as an interrupt.,,Sol Ring - Revised Magic the Gathering Single,$9.95, Uncommon,Artifact,https://www.wizardscupboard.com/sol-ring-p-8726.html
56,56,"Haste
Whenever you discard a card, Glint-Horn Buccaneer deals 1 damage to each opponent.
, Discard a card: Draw a card. Activate this ability only if Glint-Horn Buccaneer is attacking.",1rr,Core Set 2020: Glint-Horn Buccaneer,$0.25,Rare,Creature - Minotaur Pirate,https://www.cardkingdom.com/mtg/core-set-2020/glint-horn-buccaneer
57,57,"Cannot be assigned to block any creature of power greater than 1.
""Brassclaws were typical Orcs—quick to laud their own prowess in battle, quick to jeer at their opponents, and quicker still to run away when things started to look slightly dangerous.""
—Sarpadian Empires, vol. IV",2r,Brassclaw Orcs (B),$2.25,Common,Creature - Orc,https://abugames.com/magic-the-gathering/singles/product-detail/Brassclaw-Orcs-%2528B%2529/Fallen-Empires/English/ID%23-m17214
58,58,Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.)Flying3Red: Skarrgan Hellkite deals 2 damage divided as you choose among one or two targets. Activate this ability only if Skarrgan Hellkite has a +1/+1 counter on it.,3rr,Skarrgan Hellkite,$0.67,,Creature - Dragon,https://www.mtgotraders.com/store/RNA_Skarrgan_Hellkite.html
59,59,"Vigilance (Attacking doesn't cause this creature to tap.)
Squad Captain enters the battlefield with a +1/+1 counter on it for each other creature you control.",4w,Core Set 2020 Foil: Squad Captain,$0.25,Common,Creature - Human Soldier,https://www.cardkingdom.com/mtg/core-set-2020/squad-captain-foil
60,60,"{1}: Prevents all damage against you from one blue source. If a source does damage to you more than once in a turn, you must pay 1 mana each time you want to prevent the damage.",,Circle of Protection: Blue - Revised Magic the Gathering Single,$0.15, Common,Enchantment,https://www.wizardscupboard.com/circle-protection-blue-p-8531.html
61,61,Draw a card if an opponent has cast a blue or black spell this turn. Spells you control can't be countered this turn. You and permanents you control gain hexproof from blue and from black until end of turn. (You and they can't be the targets of blue or black spells or abilities your opponents control.),g,Core Set 2020: Veil of Summer,$6.99,Uncommon,Instant,https://www.cardkingdom.com/mtg/core-set-2020/veil-of-summer
62,62,"Choose a color. As long as opponent has cards of this color in play, all white creatures gain +2/+1. Jihad must be discarded immediately if at any time opponent has no cards of this color in play.
--This card has no flavor text --",www,Jihad,$224.99,Rare,Enchantment,https://abugames.com/magic-the-gathering/singles/product-detail/Jihad/Arabian-Nights/English/ID%23-43593
63,63,"FearAt the beginning of your upkeep, you may move a +1/+1 counter from target creature onto Arcbound Fiend.Modular 3 (This comes into play with three +1/+1 counters on it. When it's put into a graveyard, you may put its +1/+1 counters on target artifact creature.)",6,Arcbound Fiend,$0.01,,Artifact Creature,https://www.mtgotraders.com/store/DST_Arcbound_Fiend.html
64,64,"Other Knights you control get  1/ 1.   “I fight for my daughter, who may not set foot on a battlefield for many years. Remember who you fight for.”",rw,Inspiring Veteran,$0.15,Uncommon,Creature—HumanKnight,https://scryfall.com/card/eld/194/inspiring-veteran
65,65,"Trample
During your upkeep, pay  or Force of Nature deals 8 damage to you.
--This card has no flavor text --",2gggg,Force of Nature,$1.39,Rare,Creature - Elemental,https://abugames.com/magic-the-gathering/singles/product-detail/Force-of-Nature/4th-Edition/English/
66,66,"When Nissa Vastwood Seer enters the battlefield you may search your library for a basic Forest card reveal it put it into your hand then shuffle your library.

Whenever a land enters the battlefield under your control if you control seven or more lands exile Nissa then return her to the battlefield transformed under her owner’s control. // +1: Reveal the top card of your library. If it’s a land card put it onto the battlefield. Otherwise put it into your hand.

-2: Put a legendary 4/4 green Elemental creature token named Ashaya the Awoken World onto the battlefield.

-7: Untap up to six target lands. They become 6/6 Elemental creatures. They’re still lands.",2g,"Nissa, Vastwood Seer // Nissa, Sage Animist",$11.35,Mythic,Legendary Creature - Elf Scout // Planeswalker - Nissa,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_origins/nissa_vastwood_seer__nissa_sage_animist/303673
67,67,"Sacrifice Brindle Boar: You gain 4 life.
Sacrifice Brindle Boar: You gain 4 life.",2g,Brindle Boar,$0.25,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/268572
68,68,"When Corridor Monitor enters the battlefield, untap target artifact or creature you control.   Castle Vantress has no locks on its doors, but interlopers rarely make it past the foyer.",1u,Corridor Monitor,$0.05,Common,ArtifactCreature—Construct,https://scryfall.com/card/eld/41/corridor-monitor
69,69,"Legendary spells you cast cost 1 less to cast.Exile two legendary cards from your graveyard: Until end of turn, each legendary card in your graveyard gains ""You may play this card from your graveyard.""",wbg,"Kethis, the Hidden Hand *Foil*",$15.52,,Legendary Creature - Elf Advisor,https://www.mtgotraders.com/store/M20_Kethis_the_Hidden_Hand_f.html
70,70,"Loxodon Smiter can't be countered.If a spell or ability an opponent controls causes you to discard Loxodon Smiter, put it onto the battlefield instead of putting it into your graveyard.",1gw,Loxodon Smiter,$0.01,,Creature - Elephant Soldier,https://www.mtgotraders.com/store/RTR_Loxodon_Smiter.html
71,71,"Flying
Flying",4rr,Akoum Hellkite (Battle for Zendikar Prerelease),$0.99,Promo,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1192991/1193167
72,72,": Add either  or  to your mana pool.
Counts as both swamp and forest and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Bayou (WB),$432.79,Rare,Land - Swamp Forest,https://abugames.com/magic-the-gathering/singles/product-detail/Bayou-%2528WB%2529/Revised/German/
73,73,"Flying
Flying",g,Birds of Paradise,$17.99,Rare,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/279584/285224
74,74,"Vigilance Whenever a white creature you control attacks, you gain 1 life.",www,"Linden, the Steadfast Queen",$0.19,Rare,LegendaryCreature—HumanNoble,https://scryfall.com/card/eld/340/linden-the-steadfast-queen
75,75,"You gain 7 life.
You gain 7 life.",2ww,Angel's Mercy,$0.15,Common,Instant,http://www.starcitygames.com/catalog/magic_the_gathering/product/404424
76,76,"Flying
You can't lose the game and your opponents can't win the game.",7,Platinum Angel - Foil,$11.95,Mythic,Artifact Creature ? Angel,https://www.capefeargames.com/catalog/magic_singles-core_sets-magic_2010/platinum_angel__foil/78472
77,77,"Flying When Arcanist’s Owl enters the battlefield, look at the top four cards of your library. You may reveal an artifact or enchantment card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",w/uw/uw/uw/u,Arcanist's Owl,$0.09,Uncommon,ArtifactCreature—Bird,https://scryfall.com/card/eld/206/arcanists-owl
78,78,"Protection from black (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything black.)
: Exile target card from a graveyard.",1w,Core Set 2020 Foil: Apostle of Purifying Light,$0.35,Uncommon,Creature - Human Cleric,https://www.cardkingdom.com/mtg/core-set-2020/apostle-of-purifying-light-foil
79,79,HexproofLotus Field enters the battlefield tapped.When Lotus Field enters the battlefield sacrifice two lands.T: Add three mana of any one color.,,Lotus Field - Foil,$15.15,Rare,Land,https://www.capefeargames.com/catalog/magic_singles-core_set_2020/lotus_field__foil/602210
80,80,": Instead of drawing a card from the top of your library, draw X cards but choose only one to put in your hand. You must shuffle the leftover cards and put them at the bottom of your library.
--This card has no flavor text --",10,Aladdin's Lamp,$19.99,Rare,Artifact,https://abugames.com/magic-the-gathering/singles/product-detail/Aladdin's-Lamp/Arabian-Nights/English/ID%23-55384
81,81,"Counter target activated ability, triggered ability, or legendary spell.",1u,Tale's End,$0.03,,Instant,https://www.mtgotraders.com/store/M20_Tales_End.html
82,82,"Whenever Noxious Ghoul or another Zombie comes into play, all non-Zombie creatures get -1/-1 until end of turn.",,Noxious Ghoul - Legions,$1.75, Uncommon,Creature - Zombie,https://www.wizardscupboard.com/noxious-ghoul-p-13634.html
83,83,"As Caged Sun enters the battlefield, choose a color.Creatures you control of the chosen color get +1/+1.Whenever a land's ability adds one or more mana of the chosen color to your mana pool, add one additional mana of that color to your mana pool.",6,Caged Sun,$0.36,,Artifact,https://www.mtgotraders.com/store/NPH_Caged_Sun.html
84,84,"Return up to three target creatures to their owners' hands.
Return up to three target creatures to their owners' hands.",4uu,Captivating Gyre,$0.25,Uncommon,Sorcery,http://www.starcitygames.com/catalog/magic_the_gathering/product/1550069
85,85,"When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.
When Borderland Ranger enters the battlefield, you may search your library for a basic land card, reveal it, and put it into your hand. If you do, shuffle your library.",2g,Borderland Ranger,$0.75,Common,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/57189
86,86,": +1/+0
""And topples round the dreary west
A looming bastion fringed with fire.""
—Alfred, Lord Tennyson, ""In Memoriam""",r,Firebreathing,$36.49,Common,Enchantment - Aura,https://abugames.com/magic-the-gathering/singles/product-detail/Firebreathing/Alpha/English/ID%23-m16978
87,87,"Whenever another creature with power 2 or less enters the battlefield under your control, you may pay . If you do, draw a card.",2w,Core Set 2019 Foil: Mentor of the Meek,$1.49,Rare,Creature - Human Soldier,https://www.cardkingdom.com/mtg/core-set-2019/mentor-of-the-meek-foil
88,88,Add 1 white mana to your mana pool. Tapping this artifact can be played as an interrupt.,,Mox Pearl - Unlimited Magic the Gathering Single,"$3,250.00", Rare,Mono Artifact,https://www.wizardscupboard.com/mox-pearl-p-9754.html
89,89,+2: You gain 2 life. Put two +1/+1 counters on up to one target creature.-3: Exile target creature. Its controller gains 2 life.-10: Creatures you control gain flying and double strike until end of turn.,4ww,"Ajani, Inspiring Leader",$2.00,,Legendary Planeswalker - Ajani,https://www.mtgotraders.com/store/M20_Ajani_Inspiring_Leader.html
90,90,"If opponent has more than four cards in hand during upkeep, black vise does 1 damage to opponent for each card in excess of four.
--This card has no flavor text --",1,Black Vise,$999.99,Uncommon,Artifact,https://abugames.com/magic-the-gathering/singles/product-detail/Black-Vise/Alpha/English/ID%23-gb0011314609
91,91,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Other creatures you control have trample.
""Approach from behind. That way, if it does charge, at least you aren't in front of it.""
—Vivien Reid",3ggg,Aggressive Mammoth,$1.05,Rare,Creature - Elephant,https://abugames.com/magic-the-gathering/singles/product-detail/Aggressive-Mammoth/Core-Set-2020-%2F-M20/English/
92,92,Nonbasic lands are Mountains.,2r,Blood Moon,$19.95,Rare,Enchantment,https://www.capefeargames.com/catalog/magic_singles-masters_editions-modern_masters_2013/blood_moon/98805
93,93,"At end of combat, if Kytheon, Hero of Akros and at least two other creatures attacked this combat, exile Kytheon, then return him to the battlefield transformed under his owner's control.2White: Kytheon gains indestructible until end of turn.--+2: Up to one target creature an opponent controls attacks Gideon, Battle-Forged during its controller's next turn if able.+1: Until your next turn, target creature gains indestructible. Untap that creature.0: Until end of turn, Gideon, Battle-Forged becomes a 4/4 Human Soldier creature with indestructible that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",w,"Kytheon, Hero of Akros",$0.48,,Legendary Creature - Human Soldier,https://www.mtgotraders.com/store/ORI_Kytheon_Hero_of_Akros.html
94,94,R T Remove two cards in your graveyard from the game Grim Lavamancer deals 2 damage to target creature or player.,r,Grim Lavamancer,$11.35,Rare,Creature - Wizard,https://www.capefeargames.com/catalog/magic_singles-odyssey_block-torment/grim_lavamancer/7785
95,95,": Add either  or  to your mana pool.
Counts as both forest and islands and is affected by spells that affect either. If a spell destroys one of these land types, this card is destroyed; if a spell alters one of these land types, the other land type is unaffected.
--This card has no flavor text --",,Tropical Island (WB),$452.59,Rare,Land - Forest Island,https://abugames.com/magic-the-gathering/singles/product-detail/Tropical-Island-%2528WB%2529/Revised/German/
96,96,T: Add to your mana pool one mana of any color in your commander's color identity.,,Command Tower,$0.50/$0.63,Common,Land,https://www.capefeargames.com/buylist/magic_singles-commander_sets-commander_anthology_volume_ii/command_tower/538373
97,97,"Flash (You may cast this spell any time you could cast an instant.)
Flash (You may cast this spell any time you could cast an instant.)",1u,Brineborn Cutthroat,$2.99,Uncommon,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/1555538
98,98,"If one or more creature tokens would be created under your control, that many 4/4 white Angel creature tokens with flying and vigilance are created instead.",3ww,Divine Visitation,$0.44,,Enchantment,https://www.mtgotraders.com/store/GRN_Divine_Visitation.html
99,99,"Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)
Bloodthirst 3 (If an opponent was dealt damage this turn, this creature enters the battlefield with three +1/+1 counters on it.)",3bb,Bloodlord of Vaasgoth,$1.49,Mythic Rare,Creature,http://www.starcitygames.com/catalog/magic_the_gathering/product/267911/284718
